Total Docks,Latitude,Longitude
19,40.4565066778013,-79.9323305943069
15,40.4258,-79.9534
15,40.4446,-79.9783
15,40.4564,-79.98
19,40.448301,-80.018007
15,40.4446526,-79.9960739
15,40.4595877,-79.9452035
15,40.4329,-80.003
15,40.431336,-79.995106
19,40.436055,-79.956827
15,40.448203,-79.947507
23,40.445117,-79.957118
23,40.441638,-79.955764
15,40.4542263889049,-79.8975444133529
15,40.451781,-79.932253
18,40.4559,-79.9153
15,40.462778,-79.950868
19,40.4518,-79.9833
15,40.470221,-79.96038
19,40.4344,-79.9519
15,40.4412,-80.0048
19,40.4407732,-80.0033121
23,40.4458,-80.0091
11,40.462,-79.9683
15,40.4616,-79.9257
23,40.4279908,-79.9662963999999
15,40.4338,-80.0047
22,40.4422,-79.9576
27,40.4433,-79.9528
15,40.4591811,-79.9219961
15,40.435922,-79.997551
15,40.4377006231877,-79.9964806777709
19,40.4423713,-79.9516881
19,40.451281,-79.952982
15,40.4652642,-79.9656519999999
15,40.4646,-79.9399
15,40.4573163,-79.9343308999999
23,40.443591,-79.965456
19,40.4285997029226,-79.9863711512901
19,40.4434190381495,-80.0003105915405
19,40.4292122212107,-79.9745345629074
19,40.4088572936115,-79.9436837948181
19,40.4134809838224,-79.9482542789794
15,40.457569790831,-79.9099523342468
15,40.4530103612023,-79.8912036932327
15,40.4560595395468,-79.8899537838317
19,40.4496263051758,-79.9859178579666
19,40.4534267230288,-79.947460345111
19,40.4305127832109,-79.9599889434196
19,40.4379869540702,-79.9537045276977
18,40.4390117551208,-79.9602920330383
19,40.4483608122211,-79.9782681978561
19,40.4428413514563,-79.9816155947067
19,40.4524674541611,-80.0138718403198
19,40.4564024103846,-80.0153926528312
15,40.4670182950645,-79.9352321542121
19,40.4802827313896,-79.9542865670539
19,40.4552676644964,-80.0071234024383
19,40.4446540054179,-79.9475354469635
19,40.4469075070452,-79.8886448658325